avg_price,closed_price,datetime,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,name,open_price,rarity,volume,wa_price
9.0,9.0,2021-02-13,8.0,10.0,6028682fecdd910023cc6b82,9.0,9.0,9.0,0.0,9.2,Chilling Globe,9.0,Rare,2.0,9.0
4.0,4.0,2021-02-02,2.0,4.0,6019e7baecdd910023c1a531,4.0,4.0,4.0,0.0,2.6,Chilling Grasp,4.0,Uncommon,1.0,4.0
9.0,8.0,2021-02-13,8.0,11.0,6028686cecdd910025cac20d,10.0,10.0,8.0,3.0,9.6,Chilling Reload,10.0,Rare,3.0,9.333
10.0,15.0,2021-02-13,5.0,25.0,60286813ecdd910025cab1d2,15.0,9.5,5.0,3.0,12.6,Chromatic Blade,5.0,Rare,4.0,9.75
5.0,5.0,2021-02-06,5.0,10.0,601f2dadecdd910022c505ec,5.0,5.0,5.0,5.0,,Cleanse Corpus,5.0,Uncommon,1.0,5.0
14.5,15.0,2021-02-11,14.0,18.0,6025c519ecdd910024ca35bc,15.0,14.5,14.0,0.0,13.9,Cleanse Corrupted,14.0,Uncommon,2.0,14.5
4.0,4.0,2021-02-04,3.0,4.0,601c8aaaecdd910025c1d15d,4.0,4.0,4.0,0.0,3.6,Cleanse Grineer,4.0,Uncommon,4.0,4.0
15.0,15.0,2021-01-05,15.0,15.0,5ff4fd88ecdd910025a50cc7,15.0,15.0,15.0,5.0,,Cleanse Infested,15.0,Uncommon,1.0,15.0
19.0,19.0,2021-02-12,15.0,19.0,6027170eecdd910024cb4314,19.0,19.0,19.0,0.0,,Cold Arrival,19.0,Uncommon,2.0,19.0
6.0,6.0,2021-02-10,6.0,20.0,602473caecdd910024c93af1,6.0,6.0,6.0,3.0,11.4,Cold Snap,6.0,Rare,2.0,6.0
5.0,5.0,2021-02-13,2.0,5.0,60286846ecdd910025cabaca,5.0,5.0,5.0,0.0,4.2,Collision Force,5.0,Rare,1.0,5.0
60.0,60.0,2021-02-12,50.0,78.0,60271739ecdd910024cb4a9d,60.0,60.0,60.0,0.0,61.6,Combo Fury,60.0,Rare,1.0,60.0
69.0,69.0,2021-02-08,50.0,69.0,6021d143ecdd910025c5d9aa,69.0,69.0,69.0,0.0,58.2,Combo Killer,69.0,Uncommon,1.0,69.0
4.0,5.0,2021-02-13,2.0,5.0,60286823ecdd910023cc6973,5.0,4.0,3.0,0.0,4.0,Concealed Explosives,3.0,Rare,2.0,4.0
14.0,14.0,2021-02-13,10.0,15.0,60286863ecdd910025cac022,14.0,14.0,14.0,0.0,14.0,Concentrated Arrow,14.0,Rare,1.0,14.0
2.0,2.0,2021-02-12,2.0,5.0,602716f8ecdd910022cadcba,2.0,2.0,2.0,0.0,,Concussion Rounds,2.0,Uncommon,1.0,2.0
19.0,19.0,2021-02-13,10.0,24.0,60286870ecdd910025cac314,20.0,19.0,18.0,5.0,16.7,Condition Overload,20.0,Rare,8.0,19.0
